,topic_id,media_name,title,url,public_time
10,2,今周刊-在今天看見明天,高虹安詐領助理費判7年4月，高院5理由停審、撰寫2萬字書狀聲請釋憲！她能全身而退「改判無罪」？,https://news.google.com/read/CBMigAFBVV95cUxQMkhFcEZ0N3JDYWJVYUJvNGo0TjVHeVlTdzZNZVg2UXU1VEdRUjR1c2o0S3ZBeGE1dmVWbUhheWZOd2FSRTFaTXBQb1ZhbTl2bTMwM29DdFdxR0kwZVJrR1R4X2ZFWkdyb2xna3d4TzBJejhfcFluUkY4QUlSUGZadQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,2025-01-02T10:00:00Z
11,2,Yahoo奇摩新聞,憲法法庭若無法開庭 綠委：高虹安就永遠卡在一、二審之間,https://news.google.com/read/CBMi6wJBVV95cUxPaFpNbFVCR0tTTnFtYWhqZERkYjNrdm1aTDQzaEtFVUZxWWFRTzVaY2FRNzNsek04MHdONFFIeE1qR0d4Rml1QTU4NWx0OEJDZE44WGlhRm9ENmdXU3VIbnFwSUNYSnR6QW5DMkpYWDdZV0xDYkpPU0tLam9Zano4UEdXTGtvWS0xdVBGU2NwU0lEMklaRl9kNnQwc1hXdlBlc195anFfU014Zi1fV3lnNUlBRTlRaXloczVjczA1ZWJEMnFFZmthZkUwYXJfZ3liOXpmd053Q0oxSG5aT0FQOUdXZVNCd2lMVm1UTkFtX3ZqZ1R5OFpBM2ZfeWhwYWM2WlZ0S05KTXIxZEU0NkNpMmNTT1c1aVVpNWlMakMybUJwRnE3eW5ralpIRXBNYVlXYkFsTFFUSU5nOWgzWXB1X0NERXh4T3NuQ3dKT1F5NElwOEQtbC1IRWt2TG1NSHNEMThFMFFPTENzem8?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,2025-01-02T10:38:47Z
12,3,ETtoday新聞雲,快訊／沈慶京羈押庭 檢指串供與翻供已成事實,https://news.google.com/read/CBMiXkFVX3lxTE1RNTA1ZHh0SXFZOTZ1RUt1WnBqUG9Da1BwUnBVOWlHOGd2UXE3cXZuOFhvZFV5M203Wk9lMUxfeFJ2ZHpyS2gycXNDR0tUUmNvUG5uQTFYZ2FzVU95Z3c?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,2025-01-02T11:37:00Z
13,3,Yahoo奇摩新聞,北院三度開羈押庭 柯文哲：請檢方列出哪些人不得接觸 就是要關請明講,https://news.google.com/read/CBMiygNBVV95cUxPUUd3M2k2Rkx0UWIxRzhLSEpJMGh1OTFhVDlCdTA4R2RMNXo4eHlyUUZCNnBseVJlSFFIVV9IYW40Q1ZRUkNmcDd2cWVya1J4UW9aV1NYZE9zNE01NUhHakZOeDcyeTJHU3RXdDRJUG1PY2dhSjNXeUNKOXV6eDFTZDNWQ0JiaWx0R3JZRzhvUXRyTEo0Nnp5V1ZjM3JYNmlNZWFIYkZqRHZibnVqa2tuTHhIdzlkcVBJemZ5bzdpVHRsQV9rYmNyd3lmOUQxR2phck9GdC03ZGNQSmE2NlREWlNFUWZTZTVUOGRsZFFZdWRZN3pGVWE5Uzd5MHVEZXF4NGJIN052MzExR3pJVVZ1WC1tNUk2YTR2dkxYaEkta1NueVRGNlZhalVSckgxaHF1ZFJRcFY3Z09ZaVRFRXhqV29GYkpyX0NGWjVuX3pGZVJkY2NESU5laU5VcFVSbXp3Ul9TLUNKb3puU2FwNEFZOUx0YllpTVFCOU45dWVEYXk3SEtLaWtKLVVOUHFxQktJMlVtQmZwRUF1RFJyUEFUbmU5NUp3Vjd6aURvYk56OGRrSlU2dHFDMnZfTGg5OTVsNnRqWmtUZTU4Zw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,2025-01-02T12:30:06Z
14,3,聯合新聞網,再開羈押庭！沈慶京輪椅上服藥 駁檢方「逃亡說」：沒想東山再起,https://news.google.com/read/CBMiU0FVX3lxTFBFcVFDWHl4eW9YRDJGSFJqVjRuLVMyRWRocmFCVUdpVG1JSk1UeUpHMXQtX25lODJNc0ZRU1hqZWNhR3VIejlXUkw3cTdQQW9EWDF3?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,2025-01-02T11:46:26Z
15,3,TVBS,最後一位抵達！沈慶京緊急取消術前準備 坐輪椅現身北院,https://news.google.com/read/CBMiT0FVX3lxTFBkUDJZSHQ3R010M1o2dk84TlMxNDZOVXZLbU1iTW8yTG9xVHdwM2xjS1BaRXZkanZ3N3Z0ejFuZDdCc3ZTb3ZzdVhRZU9Pb1U?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,2025-01-02T04:58:00Z
16,4,Yahoo奇摩新聞,百億賭王涉案還去歡唱 她質疑：不用羈押？,https://news.google.com/read/CBMiogJBVV95cUxNSHR5YmtkdGtaRnhENHUtQlJVbVVDOEt0ODRJT05aOWJLM2J3SWF2M0VFeVdzSnFNUHZmRHExMjJ4c2QtWGJFRXBfdEZoM2VsLTJpSzJHQWhjckQ3TkFqb3BmRmluZ0c3N3NvNE5lQzZiblVlTktxYnFtdFFydDhkSGtRR05YUEw4NThaZDFQWTNkQlYtczJpNFNKTkd6UXkzTjVPVTRuNU1WWnFNam5SdktNMFM4ZzBPeHFxSWItSndLNVFVMDl0a1BVQ3FGeXRnTi1MUDU3ajNIWTB0b1dmamFUaEs2OXFYWGk3MldpdkJLU0xMNktYREt4V3BDRFJrZGtQQ2ZNOGpCTEluZDAwNktuX3B2ZGh4WmUwcnFiMHhyZw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,2025-01-02T13:03:33Z
17,4,中央社即時新聞,同框通緝犯林秉文梁文傑：赴朋友約不認識他| 政治,https://news.google.com/read/CBMiX0FVX3lxTE9ycGN4b0tILVFuVF82T3FVNFNPUC1PT200YkxxYkNUcnh6bUluM19HM0J5NDdWSFQ0UERFbkVVT1pNZEZWTWxtWERfZXk0MHhwV04wVGlMY0dsanp3Qlhz?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,2025-01-02T09:59:00Z
18,4,Newtalk新聞,爆林秉文包廂歡唱片附「彩蛋」 徐巧芯：怎麼每次又是你| 政治,https://news.google.com/read/CBMiWkFVX3lxTE1IcjRZQVA0dVdfM2o4QlB6cTVoYUd2WGUyR0FjVHotMVpHUkxiZHJfaXQ5SkhkMVRYUERvUE1nN3UwTDMtZk9UZHJNV3F4bjZHODllLU8tVTFMdw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,2025-01-02T09:59:29Z
19,4,NOWnews 今日新聞,酒店與林秉文唱歌「辣妹作陪」？梁文傑稱不認識：有跟高捷合唱,https://news.google.com/read/CBMiTEFVX3lxTE5DbmVocXB6ZWNLUENfbW9qWlVGZzhJajdIWHhYRVNsemlKWk40clh3dnpRT3BUemg3U0pkUVR4aHFTYi11ZGxMREZ1LXjSAVJBVV95cUxQampkQjJ2Rlp3WU9MZWd5ektVeldKS0lzajU0eHhFcTdaei1SRVRjcnptNHVUb2YwUnJxY0tHXzN0em5kYkNOSFZWUnZMRmdadWxB?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,2025-01-02T09:35:15Z
